Code,Name,IndexSED,DecileSED,IndexSEAD,DecileSEAD,IndexER,DecileER,IndexEO,DecileEO,Population
58510,Victoria Park (T),1022,9,1037,9,965,4,1064,9,34990
58540,Victoria Plains (S),1008,8,993,8,1012,8,997,8,910
58570,Vincent (C),1069,10,1098,10,1010,8,1122,10,33693
58610,Wagin (S),946,3,929,3,973,5,924,3,1852
58680,Wandering (S),1025,9,1004,8,1049,10,958,6,444
58760,Wanneroo (C),1015,8,1010,8,1059,10,966,6,188212
58820,Waroona (S),945,3,930,3,1008,8,886,1,4148
58890,West Arthur (S),992,7,988,8,995,7,1012,8,809
59030,Westonia (S),1030,9,1006,8,1056,10,997,8,304
59100,Wickepin (S),995,7,983,7,1020,8,986,8,718
59170,Williams (S),1033,9,1019,9,1056,10,1026,9,981
59250,Wiluna (S),703,1,770,1,691,1,900,2,742
59310,Wongan-Ballidu (S),979,6,962,6,972,4,970,6,1331
59320,Woodanilling (S),1014,8,1005,8,1030,9,1032,9,409
59330,Wyalkatchem (S),906,2,906,2,917,2,916,2,516
59340,Wyndham-East Kimberley (S),917,2,941,4,897,2,983,7,7148
59350,Yalgoo (S),915,2,926,3,945,2,976,7,337
59360,Yilgarn (S),944,3,934,3,978,5,918,2,1202
59370,York (S),967,5,952,5,994,7,958,6,3606
60210,Break O'Day (M),894,2,879,2,924,2,905,2,6104
60410,Brighton (M),871,1,854,1,918,2,845,1,16512
60610,Burnie (C),915,2,896,2,922,2,897,2,18895
60810,Central Coast (M) (Tas.),952,4,928,3,966,4,922,3,21362
61010,Central Highlands (M) (Tas.),891,2,883,2,945,2,903,2,2141
61210,Circular Head (M),940,3,915,3,971,4,893,1,7926
61410,Clarence (C),1002,7,983,7,994,7,992,8,54819
61510,Derwent Valley (M),893,2,872,1,944,2,855,1,10021
61610,Devonport (C),902,2,886,2,917,2,898,2,24696
61810,Dorset (M),918,2,897,2,949,3,892,1,6617
62010,Flinders (M) (Tas.),967,5,961,6,945,2,1005,8,906
62210,George Town (M),857,1,848,1,898,2,844,1,6764
62410,Glamorgan/Spring Bay (M),939,3,920,3,958,3,942,4,4400
62610,Glenorchy (C),906,2,890,2,910,2,899,2,46253
62810,Hobart (C),1043,9,1054,9,973,5,1114,10,50439
63010,Huon Valley (M),962,5,943,4,980,5,958,6,16199
63210,Kentish (M),939,3,918,3,983,5,917,2,6128
63410,King Island (M),988,6,964,6,983,5,951,5,1585
63610,Kingborough (M),1038,9,1021,9,1019,8,1045,9,35853
63810,Latrobe (M) (Tas.),970,5,939,4,979,5,924,3,10699
64010,Launceston (C),936,3,926,3,923,2,945,5,65274
64210,Meander Valley (M),976,6,951,5,987,6,946,5,19282
64610,Northern Midlands (M),959,4,933,3,978,5,923,3,12822
64810,Sorell (M),965,5,934,3,983,5,927,3,14414
65010,Southern Midlands (M),934,3,907,2,992,6,893,1,6043
65210,Tasman (M),917,2,907,2,960,3,950,5,2372
65410,Waratah/Wynyard (M),925,3,906,2,949,3,907,2,13578
